0,5977,3158,7128,1591,634,2732,1679,5670,488,1019,1474,864,5,270,603,678,308,493,0,95,48,8,78,1,4,7,28,10
5977,0,151,6888,83,210,0,0,0,18,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158,151,0,0,160,408,132,3190,409,764,139,43,506,1,35,3,76,136,0,1,13,0,0,4,0,4,1,67,22
7128,6888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,83,160,0,0,140,31,6,315,75,146,13,4,0,15,19,55,136,0,4,0,7,1,90,4,0,0,0,1
634,210,408,0,140,0,37,208,0,182,24,45,23,3,57,40,17,55,3,18,141,12,7,5,10,0,0,22,6
2732,0,132,0,31,37,0,54,220,54,888,804,168,0,340,19,256,42,0,0,1,1,13,0,2,0,4,0,0
1679,0,3190,0,6,208,54,0,0,147,15,9,465,1,25,4,10,52,0,12,4,0,0,1,3,0,0,22,7
5670,0,409,0,315,0,220,0,0,91,265,94,0,0,0,0,71,21,0,0,0,0,0,0,0,0,0,0,0
488,18,764,0,75,182,54,147,91,0,52,124,29,0,343,144,61,51,104,29,21,50,51,0,57,21,8,2,1
1019,0,139,0,146,24,888,15,265,52,0,312,32,0,130,3,199,20,3,0,7,1,1,0,0,0,0,0,0
1474,0,43,0,13,45,804,9,94,124,312,0,35,0,385,51,152,14,1,8,1,4,25,0,30,1,2,0,0
864,56,506,0,4,23,168,465,0,29,32,35,0,0,19,0,30,74,0,0,0,0,0,0,0,0,0,0,1
5,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,35,0,15,57,340,25,0,343,130,385,19,0,0,134,198,36,13,21,3,33,69,0,44,3,9,0,0
603,0,3,0,19,40,19,4,0,144,3,51,0,1,134,0,0,0,183,0,5,110,22,0,24,10,14,0,0
678,0,76,0,55,17,256,10,71,61,199,152,30,0,198,0,0,37,0,1,0,0,0,1,0,0,0,0,1
308,0,136,0,136,55,42,52,21,51,20,14,74,0,36,0,37,0,0,14,0,0,0,2,0,0,0,1,0
493,0,0,0,0,3,0,0,0,104,3,1,0,0,13,183,0,0,0,1,1,51,1,0,4,13,1,0,0
0,0,1,0,4,18,0,12,0,29,0,8,0,0,21,0,1,14,1,0,0,0,1,0,5,0,0,0,0
95,0,13,0,0,141,1,4,0,21,7,1,0,0,3,5,0,0,1,0,0,2,0,0,0,0,0,0,0
48,0,0,0,7,12,1,0,0,50,1,4,0,0,33,110,0,0,51,0,2,0,4,0,7,6,0,0,0
8,0,0,0,1,7,13,0,0,51,1,25,0,0,69,22,0,0,1,1,0,4,0,0,12,1,3,0,0
78,0,4,0,90,5,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,4,10,2,3,0,57,0,30,0,0,44,24,0,0,4,5,0,7,12,0,0,2,0,0,0
4,0,4,0,0,0,0,0,0,21,0,1,0,0,3,10,0,0,13,0,0,6,1,0,2,0,0,0,0
7,0,1,0,0,0,4,0,0,8,0,2,0,0,9,14,0,0,1,0,0,0,3,0,0,0,0,0,0
28,0,67,0,0,22,0,22,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
10,0,22,0,1,6,0,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
